date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,ep_ratio,u_rate
2010-01-01,12367.9,11931.2,436.7,6927.5,64.1,61.8,3.5
2010-02-01,12059.8,11632.3,427.4,7225.1,62.5,60.3,3.5
2010-03-01,12324.2,11895.9,428.3,6993.0,63.8,61.6,3.5
2010-04-01,12512.0,12133.5,378.5,6894.5,64.5,62.5,3.0
2010-05-01,12197.6,11798.9,398.7,7186.0,62.9,60.9,3.3
2010-06-01,12331.8,11882.2,449.6,7065.0,63.6,61.3,3.6
2010-07-01,12516.2,12099.5,416.7,6900.5,64.5,62.3,3.3
2010-08-01,12320.9,11936.5,384.3,7157.9,63.2,61.3,3.1
2010-09-01,12289.9,11912.1,377.8,7194.4,63.1,61.1,3.1
2010-10-01,12689.5,12342.6,346.8,6846.7,65.0,63.2,2.7
2010-11-01,12277.5,11874.1,403.4,7298.3,62.7,60.7,3.3
2010-12-01,12822.3,12418.3,404.1,6722.3,65.6,63.5,3.2
2011-01-01,12804.2,12376.0,428.2,6881.6,65.0,62.9,3.3
2011-02-01,12618.9,12245.3,373.6,7110.3,64.0,62.1,3.0
2011-03-01,12862.2,12491.8,370.4,6940.1,65.0,63.1,2.9
2011-04-01,12921.7,12537.1,384.6,6930.6,65.1,63.2,3.0
2011-05-01,12726.6,12330.3,396.3,7133.2,64.1,62.1,3.1
2011-06-01,12782.7,12372.6,410.1,7073.7,64.4,62.3,3.2
2011-07-01,12967.4,12581.5,385.9,6920.5,65.2,63.3,3.0
2011-08-01,12887.9,12486.7,401.2,7038.6,64.7,62.7,3.1
2011-09-01,12875.9,12456.9,419.0,7032.2,64.7,62.6,3.2
2011-10-01,12938.2,12550.1,388.1,7045.7,64.7,62.8,3.0
2011-11-01,12722.4,12323.7,398.7,7245.7,63.7,61.7,3.1
2011-12-01,13092.1,12687.2,404.9,6997.3,65.2,63.2,3.1
2012-01-01,13191.6,12781.3,410.4,6878.5,65.7,63.7,3.1
2012-02-01,13054.5,12645.6,408.9,7042.3,65.0,62.9,3.1
